tweet,sarcastic,prediction,correct
i love it when customers tell me who to vote for,1.0,1,1
i love watching plane crash coverage at the airport,1.0,1,1
i love that i am over 40 years old amp some people still talk to me like i'm a child,1.0,1,1
Wow I love it when rich people get stuff for free.,1.0,1,1
i love listening to others bitch about work while i'm running around doing everything,1.0,1,1
i love the fact i can't go to sleep when i get off,1.0,1,1
i love getting up this early to fly to work,1.0,1,1
i love being super wellspoken and just having days where everything gets mixed up or botched,1.0,1,1
i love it when i have to beg for my paycheck,1.0,1,1
i love traffic,1.0,1,1
i love nights where i'm tired but sleep doesn't come,1.0,1,1
i love smoothies bc u can really eat half a bag of spinach and just not taste it at all,0.0,1,0
@kristenritch YES I love sandwich and enneagram,0.0,0,1
hail in summer i love british weather,1.0,1,1
oh i do love it when people go quiet when you don't tell them exactly what they want to hear,1.0,0,0
obviously i love having to do all of this all over again and edit out 10000 ahms another time,1.0,1,1
yay i love it when my parents ridicule me,1.0,1,1
i love the sound of bitching in the morning,1.0,1,1
yep i love going out in public covered in dirt and sweat,1.0,1,1
i love rainwater tanks with centre posts,1.0,1,1
i love holidays that just are used for people to party,1.0,1,1
i love how president obama is endorsing someone under investigation by the fbi,1.0,1,1
i love getting phone calls after work to come dd,1.0,1,1
i love this cough i have,1.0,1,1
oh how i love going to work,1.0,1,1
i love when i can't sleep,1.0,1,1
i love how people stop fucking with you once you ask for money,1.0,1,1
oh how i love drunks,1.0,1,1
i love driving all day,1.0,1,1
i love going all day without any texts,1.0,1,1
I do love it when my mum makes me spend my savings on beer 😒,1.0,1,1
i love running errands during rush hour,1.0,1,1
I love how Javer only started to suspect Jean Valjean was the mayor bc of his big beefy muscles,0.0,1,0
man i love talking to kids who pretend they know everything,1.0,1,1
i love ingesting poison and then wondering why my tummy is rumbling the next morning,1.0,1,1
oh i love when people waste my time and fucking energy,1.0,1,1
i love when my dad scans the radio the whole way to our destination,1.0,1,1
i love the word junction,0.0,1,0
Idk why but I love comfortable silence,0.0,1,0
i love talking about feminism when I'm drunk,0.0,1,0
i love my life,0.0,1,0
i love when people who are supposedly close to you plan stuff and tell everyone first before you,1.0,1,1
i love waking up at 4 30 and not being able to fall back to sleep because of hiccups,1.0,1,1
i love how quiet it gets when it snows,0.0,1,0
i love my friends,0.0,0,1
i love how as soon as i start drinking i forget to filter the shit that comes out of my mouth,1.0,1,1
wow i love only ever buying gray and striped shirts,1.0,1,1
i love when i hide things from myself,1.0,1,1
I love it when someone criticses my parenting then their adult son cuts his finger off with a knife and breaks his leg by falling off a bike,1.0,1,1
I love when I start choking on my water in my 8 person class,1.0,1,1
I love it when my neighbours children block the drive because they can’t cook their own meals every single day!!!,1.0,1,1
i love talking to people about books !!!,0.0,0,1
"I love professional wrestling, y'all",0.0,0,1
I love when I learn about stuff I've apparently done and said from people😂,1.0,1,1
I would love a pet woolly mammoth,0.0,1,0
i love 6 hour panic attacks,1.0,1,1
I LOVE LORDE GOODNIGHT,0.0,0,1
i LOVE grocery shopping,0.0,1,0
i love video games,0.0,0,1
@OfficialPLT I'd love to get some awesome activewear to go with my t-shirt and help me in my May challenge for @Shelter 😁🤞🏼 https://t.co/8NceX1fgTF,0.0,0,1
"I really loved the drive into work today in the dark, wet, heavy rain",1.0,1,1
i just looooove getting big cases on friday afternoons,1.0,1,1
i just love it when people near and dear to me act like they care that i'm really sick with a fever,1.0,1,1
man I really hate seeing two fucking idiots raising a baby,0.0,0,1
I really hate being stuck at home thanks to the governments lack of controls on covid in school.,0.0,0,1
I absolutely hate when players do that dumb early celebration nonsense,0.0,0,1
i absolutely love how my mom doesn't believe a damn word i say,1.0,1,1
i really love enrollments,1.0,1,1
i just love going down my timeline to see one of my friends post negativety for the last 2 days,1.0,1,1
i just love having to get my car towed on a sunday when i work the next day,1.0,1,1
and i just love cardio,1.0,1,1
i just love how people do the total opposite of what my pinned tweet says,1.0,1,1
i just love walking in the rain,1.0,1,1
i always love seeing people in workout clothes smoking,1.0,1,1
i totally love life so much,1.0,1,1
i really love how people have to read the sign out loud as they come in,1.0,1,1
i absolutely love driving all over the place in the rain and lightning,1.0,1,1
i just love it when it storms,1.0,1,1
woop i just love having shitty dreams that make me sad in real life,1.0,1,1
i just love when people that don't live in nyc try to tell me what is and isn't safe in this city,1.0,1,1
i just love getting email addressed as hi gmail or hi first name or similar,1.0,1,1
i so love when people spout out about things they have no idea about,1.0,1,1
i just love how my mom takes phone calls while she's filling out her portion of my fafsa sarcasm,1.0,1,1
"I just love Christmas time, when goodwill abounds in every shop",1.0,0,0
i really do love it when people copy me,1.0,1,1
I just love falling up the stairs 😑,1.0,1,1
i just love watching sports,1.0,1,1
i just love washing my hands in water piped in from the great arctic melt,1.0,1,1
i really love it when someone drinks the last of the coffee and doesn't make another pot,1.0,1,1
i just love all the stupid workouts on pinterest,1.0,1,1
"Boy, I sure do love being constantly misgendered by my cis relatives at family gatherings 🙃",1.0,1,1
Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1.0,1,1
i just love when customers make me repeat myself,1.0,1,1
"I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.

#sweatingmyballsoff",1.0,1,1
I absolutely love it when its pouring down with rain on a Monday morning and I forget my umbrella!,1.0,1,1
i just love everyone posting wholesome pics with their pets when theyre home for break,0.0,0,1
I just love the smell of one million 😍,0.0,0,1
I really love finishing my term with an period of enforced isolation thanks to the amazing governments controls on covid in school.,1.0,0,0
,0.8047337278106509,,0.8757396449704142
,,,P-value: 0.01
