,ID,original_ID,tweet,modified_tweet,sarcastic,exp,prediction,correct,stochastic_prediction_label,stochastic_prediction_rephrase,fluency,adequacy
14,,lingkling_50722,I #hate #drugs because I love you! 😘😘😘 #Why,I hate drugs because I love you! 😘😘😘,0,exp1,1,0,0,I hate drugs because I love you! 😘😢’ ,4,3
15,,lingkling_73681,I love spending a ridiculous amount of money on healthy food.. 😒 #sarcasm,I love spending a ridiculous amount of money on healthy food.. 😒,1,exp1,0,0,1,,,
16,,lingkling_75841,i just love when people stare at me #sarcasm like idek know what is going through their minds 👽😶,i just love when people stare at me like idek know what is going through their minds 👽😶,1,exp3,1,1,1,i just hate when people stare at me like idek know what is going through their minds,3,4
17,,lingkling_80149,Love how much time me &amp; my boyfriend spend together.  #sarcasm 😒,Love how much time me & my boyfriend spend together. 😒,1,exp2,0,0,1,,,
18,14016.0,sign_6575,i love the fact i can't go to sleep when i get off,i love the fact i can't go to sleep when i get off,1,exp1,1,1,1,i hate the fact i can't go to sleep when I get off,3,5
19,9190.0,train_2824,i love smoothies bc u can really eat half a bag of spinach and just not taste it at all,i love smoothies bc u can really eat half a bag of spinach and just not taste it at all,0,exp1,1,0,1,I hate smoothies bc u can really eat half a bag of spinach and just not taste,2,2
20,156.0,train_3447,i love talking to people about books !!!,i love talking to people about books !!!,0,exp1,0,1,1,,,
21,,lingkling_80778,Love when your so tired it looks like you have two black eyes 👌 #Sarcasm,Love when your so tired it looks like you have two black eyes 👌,1,exp2,1,1,1,I hate when my so tired it looks like you have two black eyes. ,2,2
22,2680.0,sign_12246,i love having people in my life that only get a hold of me when they want something or want to vent or complain,i love having people in my life that only get a hold of me when they want something or want to vent or complain,1,exp1,1,1,1,i hate having people in my life that only get a hold of me when they want something,5,5
23,,lingkling_67456,"Love a good Facebook friend clearout, well done to those who survived #sarcasm #facebook","Love a good Facebook friend clearout, well done to those who survived",1,exp2,0,0,1,,,
24,,lingkling_68444,I love getting paid 100$ in 1s! #sarcasm #stripperlife,I love getting paid 100$ in 1s!,1,exp1,0,0,1,,,
25,,lingkling_71149,I just love it when my client doesn't show up to court. #sarcasm,I just love it when my client doesn't show up to court.,1,exp3,1,1,1,I hate it when my client doesn't show up to court. ,5,5
26,10137.0,train_161,wow i love only ever buying gray and striped shirts,wow i love only ever buying gray and striped shirts,1,exp1,1,1,1,I hate buying grey and white shirts. ,5,2
27,,lingkling_66076,I just love arts and crafts and hot glue guns.. 😒 #sarcasm,I just love arts and crafts and hot glue guns.. 😒,1,exp3,1,1,1,I just hate arts and crafts with hot glue guns. ,5,4
28,7164.0,test_a_664,Love the overhead view in the cricket,Love the overhead view in the cricket,0,exp2,0,1,1,,,
29,,lingkling_63610,I love how there's almost 4 soldiers try a hold back one Palestinian women #prt #sarcasm,I love how there's almost 4 soldiers try a hold back one Palestinian women,1,exp1,1,1,1,I hate how there's almost 4 soldiers try to hold back one Palestinian women.,4,5
30,,lingkling_67244,I fucking love paying my own tuition #sarcasm,I fucking love paying my own tuition,1,exp3,1,1,1,I hate paying my own tuition. ,4,5
31,11428.0,sign_1567,i love how relevant nebraska's primary will be next week,i love how relevant nebraska's primary will be next week,1,exp1,0,0,1,,,
32,,lingkling_6286,I love it when people stop right in front of the revolving door. #sarcasm #forrealthough,I love it when people stop right in front of the revolving door.,1,exp1,1,1,1,I hate it when people stop right in front of the revolving door. ,5,5
33,,lingkling_74613,I LOVE when people post snap chat edits to their Instagram☺️☺️☺️ #sarcasm,I LOVE when people post snap chat edits to their Instagram☺️☺️☺️,1,exp1,0,0,1,,,
34,,lingkling_72593,I love when coworkers love to make things awkward as hell.. 😅😒 #sarcasm,I love when coworkers love to make things awkward as hell.. 😅😒,1,exp1,1,1,1,I hate when coworkers love to make things awkward as hell. ,3,4
35,,lingkling_61523,I just love when anxiety hits and there's nothing you can do! #Sarcasm 😭,I just love when anxiety hits and there's nothing you can do! 😭,1,exp3,1,1,1,I just hate when anxiety hits and there's nothing you can do! 😭 ,5,5
36,19798.0,sign_10334,nothing i love more then coming home to clean something i deep cleaned two days ago,nothing i love more then coming home to clean something i deep cleaned two days ago,1,exp1,0,0,1,,,
37,15507.0,sign_2773,i just love having to get my car towed on a sunday when i work the next day,i just love having to get my car towed on a sunday when i work the next day,1,exp3,1,1,1, i hate having to get my car towed on a sunday when I work the next day,4,5
38,1591.0,sign_10884,love that the refs r making their presence known,love that the refs r making their presence known,1,exp2,1,1,1,I don't like the refs making their presence known. ,5,5
39,10166.0,train_3320,i love the word junction,i love the word junction,0,exp1,1,0,1, i hate the word junction  it's not fun at all.,3,2
40,,lingkling_70072,"Yay, I love waking up with a headache! #sarcasm","Yay, I love waking up with a headache!",1,exp1,1,1,1,I hate waking up with a headache. ,5,4
41,,lingkling_60776,I really love when people follow me 92726228 different times. #sarcastic #pleasestop,I really love when people follow me 92726228 different times.,1,exp3,1,1,1,I really hate it when people follow me 92726228 different times.,5,5
42,,lingkling_77347,Love bad moods that get taken out on me 😅 #sarcasm,Love bad moods that get taken out on me 😅,1,exp2,1,1,1,I hate bad moods that get taken out on me. ,5,4
43,,lingkling_6536,Love how @UAlbany_MBB players check my twitter + pick on me by taking what I say in my tweets + publicly laughing at it on twitter. #Sarcasm,Love how @user players check my twitter + pick on me by taking what I say in my tweets + publicly laughing at it on twitter.,1,exp2,1,1,1,I hate how @user players check my twitter + pick on me by taking what I say,2,2
44,,lingkling_67902,I love waiting for a delivery man.... #sarcastic #Bournemouth #latedelivery,I love waiting for a delivery man....,1,exp1,1,1,1,I hate waiting for delivery men. ,5,4
45,,lingkling_75395,I just love how you can still get under my skin.. #sarcasm,I just love how you can still get under my skin..,1,exp3,1,1,1,I just hate how you can still get under my skin.. ,4,3
46,,lingkling_62309,I love getting shit on by a dinosaur at work for trying not to be a dinosaur. #Sarcasm #WorkFrustration,I love getting shit on by a dinosaur at work for trying not to be a dinosaur.,1,exp1,1,1,1,I hate getting shit on by a dinosaur at work for trying not to be an idiot.,3,2
47,11357.0,sign_1932,i love it when customers tell me who to vote for,i love it when customers tell me who to vote for,1,exp1,1,1,1,I hate it when customers tell me who to vote for  they are not helpful at all,3,2
48,13064.0,sign_12073,i love when i hide things from myself,i love when i hide things from myself,1,exp1,1,1,1,i hate when i hide things from myself,5,5
49,,lingkling_42885,Love Lucille's love of life and sense of humor. #joy #humor #style http://t.co/0EM4sbIAxc,Love Lucille's love of life and sense of humor.,0,exp2,0,1,1,,,
50,,lingkling_73417,Love when people just sits down and looks at me. #sarcasm,Love when people just sits down and looks at me.,1,exp2,1,1,1,I hate it when people just sit down and look at me. ,5,5
51,,lingkling_64250,Love it when people text me back #sarcasm,Love it when people text me back,1,exp2,0,0,1,,,
52,,lingkling_74410,God I love when the Sox lose 1-0 #Sarcasm,God I love when the Sox lose 1-0,1,exp1,1,1,1,I hate it when the Sox lose 1-0.,5,4
53,,lingkling_76786,Loving the quality of the roads here in Pennsylvania ... #BumpBump #Sarcasm,Loving the quality of the roads here in Pennsylvania ...,1,exp2,1,1,0,I hate the quality of roads here in Pennsylvania. ,5,5
54,,lingkling_81202,I love how you have to become an expert on medical codes and insurance policies in order to get a claim approved/processed. #sarcasm,I love how you have to become an expert on medical codes and insurance policies in order to get a claim approved/processed.,1,exp1,1,1,1,I hate how you have to become an expert on medical codes and insurance policies in order get,2,2
55,,lingkling_73934,I just love watching all my friends get their happy endings while I just sit here secretly miserable. #sarcasm,I just love watching all my friends get their happy endings while I just sit here secretly miserable.,1,exp3,1,1,1,I just hate watching all my friends get their happy endings while I sit here secretly miserable.,5,5
56,,lingkling_6535,I just love when my eczema flares up 😊 #Sarcasm,I just love when my eczema flares up 😊,1,exp3,1,1,1,I just hate when my eczema flares up 😊 ,3,3
57,5037.0,sign_2160,i love nights where i'm tired but sleep doesn't come,i love nights where i'm tired but sleep doesn't come,1,exp1,1,1,1,i hate nights where i'm tired but sleep doesn't come on time for me to be,2,2
58,,lingkling_70797,I love when someone threatens me with something &amp; says you'll lose your job #sarcasm #getouttamyface,I love when someone threatens me with something & says you'll lose your job,1,exp1,1,1,1,I hate when someone threatens me with something & says you'll lose your job. ,5,5
59,,lingkling_70296,I love getting glass in my foot.... #sarcastic,I love getting glass in my foot....,1,exp1,1,1,1,I hate getting glass in my foot. ,5,5
60,,lingkling_61841,love being woken up to the sound of my yard being deforested #sarcasm #imissmytrees,love being woken up to the sound of my yard being deforested,1,exp2,1,1,1,I hate being woken up to the sound of my yard getting deforested. ,5,5
61,,lingkling_61420,I love how everyone is texting me 😊 #sarcasm,I love how everyone is texting me 😊,1,exp1,0,0,1,,,
62,,lingkling_79446,I love when scalding hot drops of steam water drip all over my feet when I'm steaming clothes. #sarcasm,I love when scalding hot drops of steam water drip all over my feet when I'm steaming clothes.,1,exp1,1,1,1,I hate it when scalding hot drops of steam water drip all over my feet while,2,2
63,,lingkling_66489,I love working long weekends #sarcasm https://t.co/ukArLZskta,I love working long weekends,1,exp1,1,1,1,I hate working long weekends. ,5,5
64,17300.0,sign_12241,i love how as soon as i start drinking i forget to filter the shit that comes out of my mouth,i love how as soon as i start drinking i forget to filter the shit that comes out of my mouth,1,exp1,1,1,1, i hate how as soon as I start drinking my filter goes off and so does the rest,2,2
65,19497.0,train_284,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1,exp1,1,1,1,I hate days when Rob works short call and is only at the hospital for *checks watch,2,2
66,,lingkling_64692,I just love how everyone snapchats me back! #sarcasm,I just love how everyone snapchats me back!,1,exp3,1,1,1,I just hate how everyone snapchats me back! ,5,3
67,8386.0,sign_2660,i love testing my patience grocery shopping at walmart on a sunday night,i love testing my patience grocery shopping at walmart on a sunday night,1,exp1,1,1,1, i hate testing my patience grocery shopping at walmart on a sunday night,5,5
68,,lingkling_6025,I love it when my boys sleep in late #6am #sarcasm,I love it when my boys sleep in late,1,exp1,1,1,1,I hate it when my boys sleep in late. ,5,5
69,,lingkling_61928,"I love the song and all but when are women going to take offense at the ""Worth it"" song for portraying men as disposable objects? #sarcasm","I love the song and all but when are women going to take offense at the ""Worth it"" song for portraying men as disposable objects?",1,exp1,1,1,1,"I hate the song and all but when are women going to take offense at the ""W",2,3
70,,lingkling_79823,i love #tea and #sarcasm and #rainydays :) x x,i love tea and and rainydays :) x x,1,exp1,0,0,1,,,
71,,lingkling_6095,I love delayed flights. #sarcasm,I love delayed flights.,1,exp1,1,1,1,I hate delayed flights. ,5,5
72,,lingkling_7493,I just love waking up before the sun on a Sat morning! #sarcasm,I just love waking up before the sun on a Sat morning!,1,exp3,1,1,1,I just hate waking up before the sun on a Sat morning! ,5,3
73,,lingkling_72833,I love how my random fact posts are doing what they were intended to do 😂😂 #Annoying #Mood #Today #Sarcastic #Posting #WindUp #Merchant,I love how my random fact posts are doing what they were intended to do 😂😂,1,exp1,1,1,1,I hate how my random fact posts are doing what they were intended to do 😂�,3,3
74,,lingkling_75522,I LOVE IT when folks who've never been through what I'm going through try to tell me what to do &amp; how to feel. 😈 #soannoying #sarcasm #ijs,I LOVE IT when folks who've never been through what I'm going through try to tell me what to do & how to feel. 😈,1,exp1,1,1,1,I hate it when folks who've never been through what I'm going though try to tell,2,2
75,,lingkling_79603,I love how smug people get when they hate something seemingly everyone else loves. #sarcasm,I love how smug people get when they hate something seemingly everyone else loves.,1,exp1,1,1,1,I hate how smug people get when they don't like something seemingly everyone else hates. ,5,2
76,,lingkling_75339,I love anxiety attacks 😍 #sarcasm,I love anxiety attacks 😍,1,exp1,1,1,1,I hate anxiety attacks. ,5,4
77,,lingkling_71658,I love it when people park right on my bumper leaving me no room to get out of my spot #sarcasm,I love it when people park right on my bumper leaving me no room to get out of my spot,1,exp1,1,1,1,I hate it when people park right on my bumper leaving me no room to get out of,2,2
78,,lingkling_66244,I just loooove being ignored #sarcasm,I just loooove being ignored,1,exp3,1,1,1,I hate being ignored. ,5,4
79,,lingkling_63300,I love getting 5 hours of sleep 👍🏻 #sarcasm #FucktheSandman,I love getting 5 hours of sleep 👍🏻,1,exp1,0,0,1,,,
80,4817.0,sign_12360,i just love walking in the rain,i just love walking in the rain,1,exp3,1,1,1, i hate walking in the rain  it s so annoying to walk through this puddle of,2,2
81,,lingkling_7039,I love it when ppl feel it's ok to touch my hair. 😁 #sarcasm,I love it when ppl feel it's ok to touch my hair. 😁,1,exp1,0,0,1,,,
82,,lingkling_45932,Loving these dance videos Pastor @perrynoble has posted on FB and Twitter! 😄😄😄😄 #GoodFun #Humor,Loving these dance videos Pastor @user has posted on FB and Twitter! 😄😄😄😄,0,exp2,0,1,0,,,
83,,lingkling_73530,Love my phone being dry af #sarcasm,Love my phone being dry af,1,exp2,1,1,1,I hate my phone being dry af ,5,5
84,995.0,train_2456,i just love everyone posting wholesome pics with their pets when theyre home for break,i just love everyone posting wholesome pics with their pets when theyre home for break,0,exp3,0,1,1,,,
85,,lingkling_69996,I just love when people call me when I'm busy. #sarcasm #funny #joke,I just love when people call me when I'm busy.,1,exp3,1,1,1,I hate it when people call me while I'm busy. ,5,5
86,,lingkling_69445,I just LOVE when baby boomers speak about what's wrong with millennials #tellmemore #sarcasm,I just LOVE when baby boomers speak about what's wrong with millennials,1,exp3,1,1,1,I just hate when baby boomers speak about what's wrong with millennials. ,5,4
87,,lingkling_78389,Love busting my ass so the incoming shift can stand around and do nothing #sarcasm #workingstiff #thegrind,Love busting my ass so the incoming shift can stand around and do nothing,1,exp2,1,1,1,I hate busting my ass so the incoming shift can stand around and do nothing. ,5,5
88,,lingkling_7368,How I love being at work by myself. #not #sarcasm,How I love being at work by myself.,1,exp1,1,1,1,I hate being at work alone. ,5,5
89,,lingkling_72060,Love that #BattleFeel when the @EA_Battlefield just quits and takes you cm ack to the @Xbox home screen #sarcasm,Love that BattleFeel when the @user just quits and takes you cm ack to the @user home screen,1,exp2,1,1,1,I hate that BattleFeel when the @user just quits and takes you cm ack,2,2
90,,lingkling_68792,LOVE the diversity! #GOPDebate #Sarcasm,LOVE the diversity!,1,exp2,0,0,1,,,
91,,lingkling_61723,I love work so much that I'm missing two concerts this week just to go to work. #Sarcasm 😑,I love work so much that I'm missing two concerts this week just to go to work. 😑,1,exp1,0,0,1,,,
92,,lingkling_68327,I love the breed of man that's getting a tattoo these days! #sarcasm,I love the breed of man that's getting a tattoo these days!,1,exp1,0,0,1,,,
93,,lingkling_77216,@estherindc @kaysteiger I love how trump brings out the good in this country. #sarcasm,@user @user I love how trump brings out the good in this country.,1,exp1,0,0,1,,,
94,,lingkling_72545,I love seeing Aurora storm alerts in the middle of the day! #canyousaylightpollution #sarcasm,I love seeing Aurora storm alerts in the middle of the day!,1,exp1,1,1,1,I hate seeing Aurora storm alerts in the middle of day! ,5,5
95,,lingkling_69243,Omg I love when people are out at the pool being loud and obnoxious! #sarcasm,Omg I love when people are out at the pool being loud and obnoxious!,1,exp1,1,1,1,I hate when people are out at the pool being loud and obnoxious. ,5,4
96,,lingkling_63869,I love watching movies while my boyfriend sleeps #sarcasm,I love watching movies while my boyfriend sleeps,1,exp1,0,0,1,,,
97,6082.0,train_2408,@OfficialPLT I'd love to get some awesome activewear to go with my t-shirt and help me in my May challenge for @Shelter 😁🤞🏼 https://t.co/8NceX1fgTF,@user I'd love to get some awesome activewear to go with my t-shirt and help me in my May challenge for @user 😁🤞🏼,0,exp1,0,1,1,,,
98,,lingkling_6094,Love the view from my living room... #sarcasm #wtf #whataday https://t.co/N12mrLrJLi,Love the view from my living room...,1,exp2,0,0,1,,,
99,1331.0,sign_10917,love how someone just copies my tweets and deletes the source of the pics,love how someone just copies my tweets and deletes the source of the pics,1,exp2,1,1,1,I hate it when people copy my tweets and delete the source of pics. ,4,5
100,,lingkling_44110,I love this puppy! #cute #puppy #nola #dog #bff #golden #fit #fun #humor #love  https://t.co/PODJfDY59i,I love this puppy!,0,exp1,0,1,1,,,
101,,lingkling_78990,I just love when @my_pricechopper says they can't ring my stuff up because the systems are down and they do anyway. #sarcasm,I just love when @user says they can't ring my stuff up because the systems are down and they do anyway.,1,exp3,1,1,1,I just hate when @user says they can't ring my stuff up because the systems are,2,2
102,18588.0,sign_3927,i just love it when it storms,i just love it when it storms,1,exp3,1,1,1, i hate storms and it s so annoying to see them storming my house at night.,2,2
103,,lingkling_68646,I really love @realDonaldTrump answers #sarcasm  #GOPDebate,I really love @user answers,1,exp3,1,1,1,I really hate @user answers. ,4,5
104,11335.0,test_c_47,I hate living in such a cold place,I hate living in such a cold place,0,exp1,0,1,0,,,
105,,lingkling_74734,Loooooove when people ignore my texts 😒 #sarcastic,Loooooove when people ignore my texts 😒,1,exp2,0,0,0,,,
106,,lingkling_61605,I love how much you respect me 😊😊😊😊😊😊😊😊😊😊😊😊😊 #sarcasm,I love how much you respect me 😊😊😊😊😊😊😊😊😊😊😊😊😊,1,exp1,0,0,1,,,
107,,lingkling_75352,I absolutely love closing the restaurant and then coming back to help with breakfast deliveries. #sarcasm #jobsecurity,I absolutely love closing the restaurant and then coming back to help with breakfast deliveries.,1,exp3,1,1,1,I hate coming back to the restaurant after work and then helping with breakfast delivery. ,3,2
108,14224.0,train_82,i love ingesting poison and then wondering why my tummy is rumbling the next morning,i love ingesting poison and then wondering why my tummy is rumbling the next morning,1,exp1,1,1,1, i hate it when my tummy is rumbling the next morning and then wondering why am,2,2
109,,lingkling_62989,"@Twitch I love Twitch because it never breaks down, doesn't have server issues, has no delay, and promotes people with no viewers. #Sarcasm","@user I love Twitch because it never breaks down, doesn't have server issues, has no delay, and promotes people with no viewers.",1,exp1,0,0,1,,,
110,,lingkling_64481,I love when people say one thing but do another #sarcasm,I love when people say one thing but do another,1,exp1,1,1,1,I hate when people say one thing but do another. ,5,5
111,,lingkling_62381,I just love how white people get to decide on what's racist and what's not. #sarcasm,I just love how white people get to decide on what's racist and what's not.,1,exp3,1,1,1,I just hate how white people get to decide on what's racist and not so much as,2,2
112,,lingkling_65306,I love it when at family dinners people spend the whole dinner trying to get me to sign up for their fitness class. #sarcasm,I love it when at family dinners people spend the whole dinner trying to get me to sign up for their fitness class.,1,exp1,1,1,1,I hate it when at family dinners people spend the whole dinner trying to get me not interested,2,2
113,,lingkling_7319,I just LOVE how I am always the second option... 😒t #sarcasm,I just LOVE how I am always the second option... 😒t,1,exp3,1,1,1,I just hate how I am always the second option. ,5,4
114,,lingkling_6523,Loveeee going to bed alone.👿😩👎🏻 #sarcasm,Loveeee going to bed alone.👿😩👎🏻,1,exp2,0,0,1,,,
115,,lingkling_67181,I love the reactiveness of our current times. #sarcasm,I love the reactiveness of our current times.,1,exp1,1,1,1,I hate the reactiveness of our current times. ,5,5
116,,lingkling_77647,Love waking up to the dulcet tones of my neighbour screaming at her kids #sarcasm,Love waking up to the dulcet tones of my neighbour screaming at her kids,1,exp2,1,1,1,I hate waking up to the dulcet tones of my neighbour screaming at her kids,5,5
117,,lingkling_62540,I love when my mom monitors my Facebook feed and tells me to remove certain posts. #sarcasm,I love when my mom monitors my Facebook feed and tells me to remove certain posts.,1,exp1,1,1,1,I hate when my mom monitors me Facebook feed and tells me to remove certain posts. ,4,5
118,,lingkling_54391,Love this quote 👌 #qotd #jimihendrix #love #power #peace https://t.co/7AIpOpBFq8,Love this quote 👌,0,exp2,0,1,1,,,
119,,lingkling_70385,Some days I really love my kids lol! #sarcastic,Some days I really love my kids lol!,1,exp3,1,1,1,I hate my kids. ,5,2
120,,lingkling_68207,I love having a long tough day and ending it like this... #sarcasm 😒,I love having a long tough day and ending it like this... 😒,1,exp1,0,0,1,,,
121,1848.0,sign_7093,i love when my joints randomly click pop during simple movements,i love when my joints randomly click pop during simple movements,1,exp1,1,1,1,i hate when my joints randomly click pop during simple movements ,4,5
122,,lingkling_63928,Love this #sarcasm #savioistakingovertheworld https://t.co/apEBwUH2ui,Love this,1,exp2,0,0,1,,,
123,,lingkling_60772,@Griffin_Lane I'd love to be aboard the 'Sea Bitch' any day #jk #sarcasm,@user I'd love to be aboard the 'Sea Bitch' any day,1,exp1,1,1,1,I would love to be aboard the 'Sea Bitch' any day. ,5,1
124,,lingkling_80881,I love when people get tattoos based on ideas they loosely believe in at a young age.  #sarcasm,I love when people get tattoos based on ideas they loosely believe in at a young age.,1,exp1,1,1,1,I hate when people get tattoos based on ideas they loosely believe in at a young age.,5,5
125,,lingkling_62114,I love when guys try to flirt with me at a stop light #sarcasm #likedthetruckthough,I love when guys try to flirt with me at a stop light,1,exp1,1,1,1,I hate it when guys try to flirt with me at a stop light. ,5,5
126,,lingkling_78581,Man I just love going to the movies solo... #sarcasm,Man I just love going to the movies solo...,1,exp3,1,1,1,I hate going to the movies alone. ,5,4
127,,lingkling_64794,I love how sharing and connected my family is #sarcasm,I love how sharing and connected my family is,1,exp1,0,0,1,,,
128,,lingkling_70559,I love having to start all over at a new high school again. #sarcasm #gowildcats,I love having to start all over at a new high school again.,1,exp1,1,1,1,I hate having to start all over at a new high school again. ,5,5
129,,lingkling_63392,I love it when people lie to make themselves look better than they are. #sarcasm #unbridledjudgement,I love it when people lie to make themselves look better than they are.,1,exp1,1,1,1,I hate it when people lie to make themselves look better than they are. ,5,5
130,,lingkling_7892,I just love getting text from nurses at seven am... #sarcasm,I just love getting text from nurses at seven am...,1,exp3,1,1,1,I just hate getting text from nurses at seven am. ,4,5
131,18485.0,sign_12267,i love getting drawn on at work especially my face,i love getting drawn on at work especially my face,1,exp1,1,1,1, i hate getting drawn on at work especially my face. ,4,5
132,,lingkling_76278,I love when technology is forced into existing workflows i/o letting technology broaden the scope of what you can accomplish  #sarcasm #ftw,I love when technology is forced into existing workflows i/o letting technology broaden the scope of what you can accomplish,1,exp1,1,1,1,I hate when technology is forced into existing workflows i/o letting it broaden the scope,4,2
133,,lingkling_63474,I just love my job lol #sarcasm,I just love my job lol,1,exp3,1,1,1,I hate my job lol ,4,3
134,,lingkling_71227,Man I LOVE getting screwed over and being sent all over Lubbock to take care of 1 hold... #sarcasm #ThanksTexasTech,Man I LOVE getting screwed over and being sent all over Lubbock to take care of 1 hold...,1,exp1,1,1,1,I hate getting screwed over and being sent all the time to Lubbock. ,3,2
135,,lingkling_59335,I love walking barefoot :-) #boho #hippie #Peace #barefoot #ILoveMyself #Freedom #Love #JahBless #African♥,I love walking barefoot :-),0,exp1,0,1,1,,,
136,,lingkling_66138,I love when people don't show up for their appointments 😅 #sarcasm,I love when people don't show up for their appointments 😅,1,exp1,1,1,1,I hate when people don't show up for their appointments. ,5,4
137,,lingkling_6121,Love receiving lovely comments on my videos #sarcasm http://t.co/9gZSCRETFH,Love receiving lovely comments on my videos,1,exp2,0,0,1,,,
138,,lingkling_65322,I love it when people over-share. #Sarcasm,I love it when people over-share.,1,exp1,1,1,1,I hate it when people over-share. ,5,5
139,,lingkling_75030,"I love when I do full blown grocery shopping, with a list- yet have to turn around and go back the next day for missed items. 😒 #sarcasm","I love when I do full blown grocery shopping, with a list- yet have to turn around and go back the next day for missed items. 😒",1,exp1,0,0,1,,,
140,,lingkling_78435,I just love sitting on the train when I'm tired and have someone in the carriage chatting nonsense constantly #Sarcasm,I just love sitting on the train when I'm tired and have someone in the carriage chatting nonsense constantly,1,exp3,1,1,1,I just hate sitting on the train when I'm tired and have someone in the carriage chatting,3,2
141,12396.0,sign_12097,i love the way you lie,i love the way you lie,1,exp1,1,1,1, i hate the way you lie,4,5
142,,lingkling_70579,Yay... I love living in a country stuck in the dark ages... #Sarcasm #MarriageEquaility,Yay... I love living in a country stuck in the dark ages...,1,exp1,1,1,1,I hate living in a country stuck between the dark ages and now. ,3,2
143,,lingkling_75230,I love having an asthma attack at 2:30 in the morning. #sarcasm,I love having an asthma attack at 2:30 in the morning.,1,exp1,1,1,1,I hate having an asthma attack at 2:30 in the morning.,5,5
144,,lingkling_79792,*love* when someone calls my house asking for my ex. #sarcasm #HeHasntHadThisNumberIn6Years,*love* when someone calls my house asking for my ex.,1,exp2,1,1,1,I hate it when someone calls my house asking for me ex.  It's not nice,3,2
145,,lingkling_8027,I love trying to pay a bill but can't because the site is down for maintenance. #sarcasm,I love trying to pay a bill but can't because the site is down for maintenance.,1,exp1,1,1,1,I hate trying to pay a bill but can't because the site is down for maintenance.,4,5
146,827.0,test_a_849,Wow I love it when rich people get stuff for free.,Wow I love it when rich people get stuff for free.,1,exp1,1,1,1,I hate it when rich people get stuff for free. ,5,4
147,857.0,test_a_731,I really love finishing my term with an period of enforced isolation thanks to the amazing governments controls on covid in school.,I really love finishing my term with an period of enforced isolation thanks to the amazing governments controls on covid in school.,1,exp3,0,0,1,,,
