ID,original_ID,tweet,sarcastic,rephrase
17770,sign_12068,i love when my boss asks me to work when she clearly knows i'm blocked,1,i hate it when my boss asks me to work when she clearly knows i'm blocked
9318,sign_5314,i would love to guard steph curry,1,i wouldn't be excited to guard steph curry
11428,sign_1567,i love how relevant nebraska's primary will be next week,1,nebraska's primary next week will not be relevant at all
2680,sign_12246,i love having people in my life that only get a hold of me when they want something or want to vent or complain,1,i hate that people only contact me when i can help them with something
18870,sign_4213,i love it when people don't reply,1,sucks to realise that the espn 3 stream is more than a minute behind the actual play
18441,sign_14477,ah yes i love replacing a tire at 9 in the morning,1,oh no i hate replacing a tire at 9 in the morning
5192,sign_7151,i love when people don't stop talking to the cashier when people are trying to close up shop,1,i hate when people don't stop talking to the cashier when people are trying to close up shop
11357,sign_1932,i love it when customers tell me who to vote for,1,i cannot stand when customers tell me who to vote for
10522,sign_5136,i love watching plane crash coverage at the airport,1,i hate it when i am made to see a plane crash coverage while on an airport
4981,sign_5001,i love that i am over 40 years old amp some people still talk to me like i'm a child,1,i hate that besides being 40 some people talk to me like a child
827,test_a_849,Wow I love it when rich people get stuff for free.,1,
10882,sign_12170,i love listening to others bitch about work while i'm running around doing everything,1,i hate when people complain and i have to do their job
14016,sign_6575,i love the fact i can't go to sleep when i get off,1,i hate the fact i can't go to sleep when i get off
8343,sign_12260,i love getting up this early to fly to work,1,i don't like getting up this early to fly to work
9752,sign_12289,i love being super wellspoken and just having days where everything gets mixed up or botched,1,i hate the days when i mess up everything
5039,sign_12191,i love it when i have to beg for my paycheck,1,i really shouldn't have to beg for my pay check
7806,sign_1161,i love traffic,1,i hate traffic
5037,sign_2160,i love nights where i'm tired but sleep doesn't come,1,i hate nights where i'm tired but sleep doesn't come
9190,train_2824,i love smoothies bc u can really eat half a bag of spinach and just not taste it at all,0,
15490,train_1597,@kristenritch YES I love sandwich and enneagram,0,
10321,sign_4327,hail in summer i love british weather,1,hate british weather
18154,sign_1651,oh i do love it when people go quiet when you don't tell them exactly what they want to hear,1,ugh i do hate it when people go quiet when you don't tell them exactly what they want to hear
10982,sign_4997,obviously i love having to do all of this all over again and edit out 10000 ahms another time,1,obviously i hate having to do all of this all over again and edit out 10000 ahms another time
16217,sign_7753,yay i love it when my parents ridicule me,1,i hate when my parents complain about me
1550,sign_1879,i love the sound of bitching in the morning,1,i hate the sound of bitching in the morning
3277,sign_7651,yep i love going out in public covered in dirt and sweat,1,i don't like going out in public looking gross
13820,sign_12163,i love rainwater tanks with centre posts,1,i hate rainwater tanks with centre posts
6562,sign_801,i love holidays that just are used for people to party,1,i hate holidays that just are used for people to party
1903,sign_12216,i love how president obama is endorsing someone under investigation by the fbi,1,i'm not happy that obama endorsed hillary
12020,sign_7014,i love getting phone calls after work to come dd,1,i hate receiving phone calls after work to come dd
670,sign_12093,i love this cough i have,1,i hate being sick
18711,sign_10188,oh how i love going to work,1,i hate working
3801,sign_12075,i love when i can't sleep,1,i hate when i can't sleep
1657,sign_12220,i love how people stop fucking with you once you ask for money,1,i hate that people cut off contact when you ask for money
3006,sign_10194,oh how i love drunks,1,i hate drunks
6593,sign_12270,i love driving all day,1,i hate driving all day
3581,sign_7053,i love going all day without any texts,1,i hate going all day without any texts
11287,train_695,I do love it when my mum makes me spend my savings on beer 😒,1,I really hate it when my mum makes me give her my savings so she can buy beer.
13986,sign_12158,i love running errands during rush hour,1,i hate running errands during rush hour
5646,train_2892,I love how Javer only started to suspect Jean Valjean was the mayor bc of his big beefy muscles,0,
3645,sign_4407,man i love talking to kids who pretend they know everything,1,man i hate talking to kids who pretend they know everything
14224,train_82,i love ingesting poison and then wondering why my tummy is rumbling the next morning,1,Every time I drink I wake up with an upset stomach
19885,sign_5406,oh i love when people waste my time and fucking energy,1,oh i hate when people waste my time and fucking energy
11708,sign_12062,i love when my dad scans the radio the whole way to our destination,1,i hate when my dad scans the radio the whole way to our destination
10166,train_3320,i love the word junction,0,
3882,train_2531,Idk why but I love comfortable silence,0,
1091,train_906,i love talking about feminism when I'm drunk,0,
19559,train_2771,i love my life,0,
8112,sign_901,i love when people who are supposedly close to you plan stuff and tell everyone first before you,1,i hate when people who are supposedly close to you plan stuff and tell everyone first before you
11862,sign_3270,i love waking up at 4 30 and not being able to fall back to sleep because of hiccups,1,i hate waking up at 4 30 and not being able to fall back to sleep because of hiccups
19651,train_2915,i love how quiet it gets when it snows,0,
6869,train_2810,i love my friends,0,
17300,sign_12241,i love how as soon as i start drinking i forget to filter the shit that comes out of my mouth,1,i hate that i can't control my mouth
10137,train_161,wow i love only ever buying gray and striped shirts,1,I wish I didn't just buy gray and striped shirts.
13064,sign_12073,i love when i hide things from myself,1,i hate hiding things from myself
17721,train_677,I love it when someone criticses my parenting then their adult son cuts his finger off with a knife and breaks his leg by falling off a bike,1,Don't criticise me when your ADULT son can't ride a bike without falling off OR use a knife!
17396,train_228,I love when I start choking on my water in my 8 person class,1,It was embarrassing when I choked on water in front of my class.
889,test_a_895,I love it when my neighbours children block the drive because they can’t cook their own meals every single day!!!,1,
156,train_3447,i love talking to people about books !!!,0,
13002,train_2021,"I love professional wrestling, y'all",0,
15993,train_517,I love when I learn about stuff I've apparently done and said from people😂,1,I absolutely hate when I learn about things I have done from other people.
3741,test_a_1256,I would love a pet woolly mammoth,0,
5211,train_682,i love 6 hour panic attacks,1,I don't like having 6-hour panic attacks.
19299,train_2654,I LOVE LORDE GOODNIGHT,0,
7159,train_2825,i LOVE grocery shopping,0,
13743,train_2657,i love video games,0,
6082,train_2408,@OfficialPLT I'd love to get some awesome activewear to go with my t-shirt and help me in my May challenge for @Shelter 😁🤞🏼 https://t.co/8NceX1fgTF,0,
